Designator,Mid X,Mid Y,Rotation,Layer
3V3LED1,170.22,-51.2,180.0,top
BOOTJUMPER1,147.33,-47.34,180.0,top
C1,150.54,-54.84,180.0,top
C10,157.63,-63.057,180.0,top
C11,161.47,-53.78,0.0,top
C12,153.45,-55.25,270.0,top
C13,159.3725,-51.0375,270.0,top
C14,155.5725,-51.0375,90.0,top
C15,140.78,-57.97,270.0,top
C16,141.87,-57.99,270.0,top
C17,133.45,-55.42,180.0,top
C2,151.52,-50.82,0.0,top
C20,139.717508,-67.24,270.0,top
C21,139.073131,-64.462144,90.0,top
C22,138.797508,-67.24,270.0,top
C23,134.002508,-64.65,90.0,top
C24,129.29,-69.498186,180.0,top
C25,131.47,-69.468186,0.0,top
C26,132.377508,-61.06,180.0,top
C27,132.377508,-60.14,180.0,top
C28,174.077,-55.992,270.0,top
C29,173.114,-55.998,270.0,top
C3,151.51,-51.85,0.0,top
C4,150.55,-56.19,180.0,top
C5,150.55,-57.58,180.0,top
C6,152.59,-56.72,180.0,top
C7,153.902,-52.733,180.0,top
C8,147.32,-50.99,180.0,top
C9,153.908,-53.73,180.0,top
D1,128.7875,-55.61,0.0,top
D2,160.31,-64.585,90.0,top
ENJUMPER1,151.07,-47.33,180.0,top
IC1,168.0,-57.405,0.0,top
J1,117.45,-61.87,90.0,top
J2,160.94,-69.86,0.0,top
L1,152.63,-57.71,0.0,top
L2,156.7525,-53.2875,90.0,top
L3,136.54,-61.658186,180.0,top
R1,151.55,-49.79,180.0,top
R10,134.71,-53.38,90.0,top
R11,157.51,-65.695,180.0,top
R12,163.576,-65.62,180.0,top
R13,167.03,-65.675,0.0,top
R14,140.657508,-63.588186,270.0,top
R15,136.717508,-68.1,0.0,top
R16,130.530223,-61.05,180.0,top
R17,128.670223,-61.05,180.0,top
R2,165.56,-51.09,180.0,top
R3,147.3,-49.84,0.0,top
R4,168.05,-51.14,180.0,top
R5,152.22,-55.2,90.0,top
R6,162.07,-51.31,270.0,top
R8,142.09,-54.97,270.0,top
R9,134.69,-57.46,90.0,top
TXLED1,163.65,-51.09,0.0,top
U1,158.7425,-58.425,0.0,top
U2,145.595,-56.24,90.0,top
U3,141.437508,-65.808,90.0,top
U4,136.534582,-65.83,90.0,top
U5,130.508,-65.231186,90.0,top
USBLED1,169.05,-65.67,180.0,top
Y1,157.4525,-51.0175,0.0,top
